k13A_o70_03_dia0.cnf: UNSAT | VERIFIED
k13A_o70_03_dia1.cnf: UNSAT | VERIFIED
k13A_o71_03_c4a0.cnf: UNSAT | VERIFIED
k13A_o71_03_c4a1.cnf: UNSAT | VERIFIED
k13A_o71_03_c4a2.cnf: UNSAT | VERIFIED
k13A_o71_03_c4a3.cnf: UNSAT | VERIFIED
k13A_o71_03_dia0.cnf: UNSAT | VERIFIED
k13A_o71_03_dia1.cnf: UNSAT | VERIFIED
k13A_o72_26_c4a0.cnf: UNSAT | VERIFIED
k13A_o72_26_c4a1.cnf: UNSAT | VERIFIED
k13A_o72_26_c4a2.cnf: UNSAT | VERIFIED
k13A_o72_26_c4a3.cnf: UNSAT | VERIFIED
k13A_o72_26_dia0.cnf: UNSAT | VERIFIED
k13A_o72_26_dia1.cnf: UNSAT | VERIFIED
k13A_o73_03_c4a0.cnf: UNSAT | VERIFIED
k13A_o73_03_c4a1.cnf: UNSAT | VERIFIED
k13A_o73_03_c4a2.cnf: UNSAT | VERIFIED
k13A_o73_03_c4a3.cnf: UNSAT | VERIFIED
k13A_o73_03_dia0.cnf: UNSAT | VERIFIED
k13A_o73_03_dia1.cnf: UNSAT | VERIFIED
k13A_o74_15_c4a0.cnf: UNSAT | VERIFIED
k13A_o74_15_c4a1.cnf: UNSAT | VERIFIED
k13A_o74_15_c4a2.cnf: UNSAT | VERIFIED
k13A_o74_15_c4a3.cnf: UNSAT | VERIFIED
k13A_o74_15_dia0.cnf: UNSAT | VERIFIED
k13A_o74_15_dia1.cnf: UNSAT | VERIFIED
k13A certs: PASS=450 FAIL=0
